"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!With earnings","Total!!Margin of Error!!With earnings","Total!!Estimate!!With interest, dividends, or net rental income","Total!!Margin of Error!!With interest, dividends, or net rental income","Total!!Estimate!!With Social Security income","Total!!Margin of Error!!With Social Security income","Total!!Estimate!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!With Supplemental Security Income (SSI)","Total!!Estimate!!With cash public assistance income","Total!!Margin of Error!!With cash public assistance income","Total!!Estimate!!With retirement income","Total!!Margin of Error!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!With earnings","Mean income (dollars)!!Margin of Error!!With earnings","Mean income (dollars)!!Estimate!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!With Social Security income","Mean income (dollars)!!Margin of Error!!With Social Security income","Mean income (dollars)!!Estimate!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!With cash public assistance income","Mean income (dollars)!!Estimate!!With retirement income","Mean income (dollars)!!Margin of Error!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months"
"0500000US26111","Midland County, Michigan","33843","910","73.9","2.4","30.2","3.1","34.8","2.8","6.3","1.9","2.9","1.2","28.5","3.0","22656","1228","19.1","2.2","31.6","3.6","34.3","3.7","7.2","2.2","6.0","1.8","1.8","1.0","83592","*****","94.1","0.6","1.4","0.3","0.4","0.3","2.1","0.3","0.0","0.2","0.5","0.5","1.5","0.6","2.1","*****","93.0","0.2","31.5","(X)","26.9","(X)","22.9","(X)","67447","4241","67116","5178","11718","4817","17065","1037","7930","1823","1899","517","23639","3075","80578","5275","57622","11008","67915","10294","105909","9470","71064","13757","89737","17717","71036","30778","27556","1717","27549","1705","22171","8936","23767","19785","38891","24941","N","N","N","N","10954","6267","20581","12643","27727","1746","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US26115","Monroe County, Michigan","58596","2211","75.9","3.7","20.5","2.0","31.7","3.6","4.6","1.4","4.4","1.3","25.5","2.9","42202","1844","15.1","2.6","32.7","3.4","30.6","2.9","9.3","2.0","9.1","1.8","3.2","1.5","151932","*****","94.9","0.4","2.2","0.5","0.3","0.2","0.5","0.2","0.0","0.1","0.5","0.4","1.7","0.6","3.1","*****","92.5","0.1","29.4","(X)","30.7","(X)","21.4","(X)","60834","2489","60231","2972","9736","4258","17769","846","10321","1460","3397","1151","18428","1944","68972","3180","40895","7774","51383","5755","92694","5436","63745","8267","105108","11477","67184","11145","23842","1077","24051","1056","9615","3382","16550","2472","64734","53909","N","N","20675","8691","21866","11181","9613","2869","24474","1075","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US26121","Muskegon County, Michigan","65892","1992","71.0","2.3","17.3","1.6","35.7","2.1","6.4","1.3","6.1","1.5","22.3","1.5","46654","2233","23.1","2.4","35.3","3.6","25.7","2.8","7.5","1.5","6.8","1.5","1.6","0.9","172068","*****","80.4","1.0","13.7","0.8","0.4","0.2","0.7","0.1","0.0","0.1","1.1","0.8","3.7","0.9","4.8","*****","77.1","0.2","26.4","(X)","26.1","(X)","19.6","(X)","50222","2739","49875","2876","13745","8679","16641","634","8897","861","2968","594","16110","1750","55344","3293","28961","2591","43248","3398","83657","9717","51316","7537","102270","12318","66752","17601","19347","1023","21350","1237","12259","2019","N","N","11643","7302","N","N","N","N","7762","3137","8449","5466","21855","1253","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US26125","Oakland County, Michigan","482286","4240","78.7","0.8","26.7","0.8","27.6","0.6","3.8","0.5","2.6","0.4","20.0","0.8","314063","5535","13.9","0.9","33.4","1.4","34.0","1.2","8.4","0.8","8.1","0.6","2.3","0.4","1203012","*****","77.7","0.2","13.4","0.2","0.2","0.1","5.7","0.2","0.0","0.1","0.6","0.1","2.4","0.3","3.5","*****","75.0","0.1","24.9","(X)","25.6","(X)","18.9","(X)","81063","1578","82518","1871","14018","1843","18435","363","9658","631","4612","570","23787","1008","98691","2256","53916","5262","82383","4558","123530","3964","87522","8195","147389","13858","107861","11964","32984","646","34620","727","25466","1796","22014","5985","37820","2260","32220","17604","17193","3861","15437","3565","16997","2430","35279","755","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US26139","Ottawa County, Michigan","91334","2394","81.4","1.5","27.1","2.0","27.4","1.5","3.6","0.8","2.9","1.0","17.9","1.7","69251","2502","13.1","1.7","29.1","2.7","39.2","2.7","6.2","1.6","10.7","1.7","1.7","0.8","264055","*****","89.0","0.8","1.1","0.2","0.3","0.2","2.8","0.2","0.0","0.1","4.1","0.9","2.8","0.6","8.7","*****","85.6","0.1","23.3","(X)","20.8","(X)","16.5","(X)","67795","3462","65610","4033","13262","6473","18156","798","11357","2963","2706","971","19923","2147","75803","3899","43744","4891","64973","8840","85227","5925","91112","23790","100271","7516","81150","23260","24047","1164","25542","1371","12919","3061","20757","9341","15494","2801","N","N","11455","1810","8041","2989","11109","1109","26076","1394","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US26145","Saginaw County, Michigan","75609","1516","68.5","2.1","22.7","1.9","34.8","1.8","6.1","1.3","4.4","1.1","28.2","1.9","48805","2132","21.6","2.3","30.2","2.6","30.7","2.4","8.4","1.8","6.7","1.1","2.4","1.1","199911","*****","75.2","0.9","18.4","1.0","0.5","0.2","1.2","0.2","0.0","0.1","1.9","0.9","2.9","1.2","7.8","*****","70.4","0.2","33.6","(X)","34.5","(X)","28.9","(X)","53707","2130","55064","2320","8751","2410","16802","740","9402","832","3634","995","20063","1592","65262","2940","36667","3987","48757","3571","95760","7204","57329","7520","100563","9410","68107","16239","21025","758","23194","868","13662","1583","9220","8796","41822","13538","N","N","15027","5110","8643","5158","12624","2561","23915","931","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US26147","St. Clair County, Michigan","64501","1533","73.4","1.6","22.1","2.1","35.7","1.8","5.6","1.2","3.5","1.0","24.5","2.1","43998","1671","19.9","1.9","32.1","3.3","29.4","3.1","10.2","2.1","7.0","1.6","1.5","0.7","162789","*****","94.0","0.5","2.2","0.3","0.3","0.2","0.5","0.2","0.0","0.1","0.7","0.4","2.2","0.5","2.9","*****","92.2","0.1","24.9","(X)","24.3","(X)","18.1","(X)","55531","2778","54883","3719","8654","2825","17014","760","10079","1533","3437","1593","17491","1378","63356","3563","37372","4284","49273","3772","90309","8828","59448","13251","94271","10885","63782","13977","22390","1159","23052","1245","14213","7188","14769","12848","15534","13996","N","N","18314","7491","6548","2824","12101","2065","23296","1240","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US26155","Shiawassee County, Michigan","27134","928","75.7","2.9","18.2","3.0","34.6","2.6","3.8","1.3","3.7","1.5","24.3","2.5","18801","1040","15.2","2.9","36.3","4.1","31.4","3.0","8.2","2.3","7.6","2.4","1.3","1.1","70606","*****","97.3","0.3","0.4","0.3","0.3","0.3","0.1","0.1","0.2","0.3","0.0","0.1","1.6","0.5","2.4","*****","94.9","0.3","36.1","(X)","34.1","(X)","25.4","(X)","53718","3019","52256","3348","5725","1754","17111","1007","7730","986","3239","1253","20192","3124","60699","3176","38575","3951","46564","4384","77335","4974","69172","12747","91194","11543","81075","27829","21103","1031","21414","996","N","N","12969","7886","N","N","N","N","N","N","N","N","9586","3687","21717","1023","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US26159","Van Buren County, Michigan","27779","1421","74.9","2.9","21.7","2.9","31.5","2.2","4.3","1.7","3.3","1.2","19.7","3.0","19446","1354","17.1","2.8","32.0","3.4","34.2","3.5","7.6","2.4","7.8","2.3","1.2","0.8","76186","*****","87.3","1.6","4.5","0.8","0.4","0.4","0.2","0.2","0.0","0.2","4.6","1.6","3.0","0.9","N","N","N","N","25.0","(X)","24.7","(X)","20.1","(X)","55627","3181","56837","3972","6666","2223","16579","1325","7922","1496","5287","2384","18181","3076","63568","3903","36231","7718","48820","5620","83931","6793","60031","11008","100823","17346","46287","7740","21495","1155","23161","1326","10799","3506","N","N","N","N","N","N","11411","5568","N","N","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)"
