"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C01_004E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M","S1902_C02_015E"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income","Total!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population"
"0500000US33005","Cheshire County, New Hampshire","30603","988","79.5","2.3","25.0","3.0","2.8","6.3","2.9","2.5","1.6","17.2","2.5","19181","1466","N","N","N","N","N","N","N","N","N","N","N","N","76610","*****","95.6","0.7","0.7","0.5","0.3","0.3","1.2","0.5","0.1","0.1","0.7","0.6","1.5","0.6","1.7","*****","94.6","0.3","36.7","(X)","33.1","(X)","29.1","(X)","64847","4496","64359","5332","11065","4409","17001","971","10028","3471","3692","1608","21813","3323","75121","6368","N","N","N","N","N","32.5","N","N","N","N","N","N","N","1715","27663","1694","20006","11320","N","N","6753","5765","N","N","N","N","N","N","N","N","27834","1731","(X)","(X)","(X)","(X)","(X)","(X)","26997"
"0500000US33009","Grafton County, New Hampshire","35728","1499","79.8","2.6","27.4","3.1","2.5","3.7","1.6","2.5","1.1","19.2","2.4","21774","1247","14.2","2.7","35.6","5.0","35.3","4.7","5.5","2.1","8.2","2.0","1.2","0.9","89629","*****","93.3","0.3","0.8","0.4","0.7","0.2","3.1","0.5","0.0","0.2","0.2","0.1","2.0","0.7","2.1","*****","91.3","0.2","24.8","(X)","25.3","(X)","20.6","(X)","73726","5821","69211","5679","20108","7287","18747","1373","8942","1684","2474","766","27907","8445","90329","7623","61935","14963","79510","15816","106031","33.1","9839","73648","16029","132196","21836","72966","26802","2333","31609","2274","6357","3264","N","N","12511","9632","N","N","N","N","32254","26404","10871","4742","32044","2325","(X)","(X)","(X)","(X)","(X)","(X)","30678"
"0500000US33011","Hillsborough County, New Hampshire","155036","2048","82.4","1.3","24.0","1.5","1.2","4.8","0.8","2.8","0.6","16.3","1.1","105458","3185","11.0","1.3","31.8","2.2","34.0","2.6","9.5","1.4","10.8","1.6","2.8","0.8","403985","*****","89.9","0.7","2.4","0.5","0.1","0.1","3.7","0.2","0.0","0.1","1.6","0.7","2.4","0.6","5.8","*****","86.3","0.5","26.2","(X)","27.3","(X)","20.6","(X)","85775","3382","87094","3275","13936","5521","18227","625","9689","1134","2903","863","21117","2464","98737","4351","41275","3819","78091","6691","126375","29.4","6374","75631","6709","154420","22687","88496","13212","1308","34876","1390","31161","16014","16763","13541","31525","4788","N","N","17836","4950","17700","6578","17597","4151","35547","1461","(X)","(X)","(X)","(X)","(X)","(X)","33966"
"0500000US33013","Merrimack County, New Hampshire","55085","1407","79.6","1.9","24.4","2.4","2.0","3.7","1.1","3.5","1.1","19.5","2.2","36284","1855","12.1","2.1","27.0","3.1","40.6","3.4","6.7","1.8","11.6","2.3","2.0","1.0","146849","*****","94.8","0.5","1.2","0.2","0.2","0.2","1.7","0.4","0.0","0.1","0.6","0.4","1.6","0.4","1.8","*****","93.7","0.1","25.5","(X)","27.4","(X)","21.4","(X)","78120","3701","77462","4477","17788","6190","19006","948","8340","1170","2656","1001","23217","3131","92313","4999","56624","17144","79819","11629","102792","31.8","4941","67289","11674","134589","12103","103696","28353","1293","31373","1336","14732","4733","N","N","26441","12191","N","N","N","N","15020","5801","17804","11139","31502","1330","(X)","(X)","(X)","(X)","(X)","(X)","30710"
"0500000US33015","Rockingham County, New Hampshire","117890","1903","82.6","1.4","27.4","2.0","1.6","2.9","0.7","1.8","0.6","18.8","1.6","80620","2741","9.8","1.5","28.3","2.6","38.9","2.7","7.0","1.6","12.4","1.7","3.5","1.1","299134","*****","95.1","0.4","0.6","0.2","0.3","0.3","2.0","0.2","0.0","0.1","0.6","0.4","1.4","0.3","2.5","*****","93.5","0.1","28.0","(X)","27.1","(X)","21.6","(X)","96790","4913","97380","5610","17082","5175","18359","606","11198","1681","2078","827","23728","2923","114159","6655","53009","5415","91541","10122","138945","29.5","11697","111794","33346","138592","10644","110941","16977","1936","39654","1932","30328","18864","N","N","35374","8746","N","N","20515","13393","13915","4118","25041","8010","39845","1966","(X)","(X)","(X)","(X)","(X)","(X)","38976"
"0500000US33017","Strafford County, New Hampshire","47528","1228","80.7","2.7","24.8","3.2","2.7","2.4","0.9","4.1","1.6","15.7","2.5","32131","1821","12.4","2.8","29.4","4.0","37.2","4.0","9.1","2.7","9.5","2.4","2.4","1.7","124593","*****","93.5","0.5","0.7","0.4","0.2","0.1","2.2","0.6","0.0","0.1","0.4","0.4","3.0","0.8","2.1","*****","91.9","0.2","23.6","(X)","24.9","(X)","17.7","(X)","73117","4412","74855","4730","10210","4088","15950","1143","8009","1302","2720","1767","21518","3077","83690","5427","38522","8332","62160","7136","103650","31.6","10899","82866","16226","123779","12302","116056","31692","1578","29085","1635","N","N","N","N","26153","8626","N","N","N","N","18337","6727","18911","8047","29370","1646","(X)","(X)","(X)","(X)","(X)","(X)","28619"
"0500000US34001","Atlantic County, New Jersey","101721","2722","76.3","1.6","21.4","1.8","1.6","5.8","1.3","4.4","0.9","18.8","1.9","69797","2875","15.4","2.2","34.5","2.9","26.5","2.7","11.1","2.0","8.5","1.4","4.1","1.6","275862","*****","68.7","1.3","15.2","0.9","0.1","0.1","8.1","0.3","0.0","0.1","4.5","1.2","3.4","1.0","18.2","*****","57.0","0.1","37.7","(X)","39.0","(X)","29.5","(X)","69941","2956","69996","3431","13332","3468","17625","752","11437","2208","3928","723","25889","2851","79405","4223","40552","8685","60220","5266","112618","34.7","9893","67910","6952","128779","13579","100736","19643","1034","31117","1499","17511","2084","N","N","18614","2836","N","N","14323","2379","11027","3405","15281","1464","34292","1617","(X)","(X)","(X)","(X)","(X)","(X)","26567"
"0500000US34003","Bergen County, New Jersey","338063","3017","81.2","0.8","30.1","1.1","0.8","3.5","0.5","1.4","0.3","14.9","0.8","241689","4979","11.2","0.9","31.8","1.6","32.5","1.2","10.7","1.2","10.5","0.9","3.3","0.5","925328","*****","69.6","0.9","6.0","0.3","0.2","0.1","15.8","0.2","0.0","0.1","6.6","0.9","1.8","0.3","17.9","*****","59.6","0.1","32.0","(X)","32.4","(X)","24.8","(X)","116561","2886","118650","2882","25990","2917","20408","503","10473","892","3730","735","30106","5164","136333","3803","60405","6429","117521","8578","169363","28.9","8217","128478","13517","180689","10440","134074","16530","1068","46877","1573","35113","4902","22586","8442","42958","3232","N","N","22240","2193","20941","4217","25811","1882","50007","1695","(X)","(X)","(X)","(X)","(X)","(X)","43412"
"0500000US34005","Burlington County, New Jersey","162245","2421","81.8","1.0","25.3","1.5","1.0","3.1","0.5","2.0","0.5","23.3","1.3","114020","3104","11.3","1.0","30.0","2.0","34.8","2.2","9.2","1.1","12.0","1.3","2.6","0.6","450838","*****","73.6","0.6","16.2","0.6","0.1","0.1","4.7","0.2","0.0","0.1","2.3","0.6","3.2","0.6","7.3","*****","69.1","0.3","29.1","(X)","29.6","(X)","25.0","(X)","96658","2318","96686","2529","11741","2699","19839","624","9572","970","4235","1077","25704","2561","110745","2826","50699","4096","89636","6603","133220","31.5","6227","97817","9958","159758","8115","135566","14083","911","38633","1094","27420","1778","34201","20336","41552","5536","N","N","21851","5923","18504","3690","21958","2193","39579","1133","(X)","(X)","(X)","(X)","(X)","(X)","35930"
