zip,primary_city,state,latitude,longitude,county,County
501,Holtsville,NY,40.81,-73.04,Suffolk,"Suffolk County, New York"
544,Holtsville,NY,40.81,-73.04,Suffolk,"Suffolk County, New York"
601,Adjuntas,PR,18.16,-66.72,Adjuntas,"Adjuntas County, Puerto Rico"
603,Aguadilla,PR,18.43,-67.15,Aguadilla,"Aguadilla County, Puerto Rico"
606,Maricao,PR,18.18,-66.98,Maricao,"Maricao County, Puerto Rico"
612,Arecibo,PR,18.45,-66.73,Arecibo,"Arecibo County, Puerto Rico"
616,Bajadero,PR,18.4,-66.66,Arecibo,"Arecibo County, Puerto Rico"
617,Barceloneta,PR,18.45,-66.53,Barceloneta,"Barceloneta County, Puerto Rico"
652,Garrochales,PR,18.45,-66.6,Arecibo,"Arecibo County, Puerto Rico"
723,Patillas,PR,18,-66.01,Patillas,"Patillas County, Puerto Rico"
729,Canovanas,PR,18.37,-65.9,CanÃƒÂ³vanas,"CanÃƒÂ³vanas County, Puerto Rico"
757,Santa Isabel,PR,17.97,-66.4,Santa Isabel,"Santa Isabel County, Puerto Rico"
786,La Plata,PR,18.16,-66.23,Aibonito,"Aibonito County, Puerto Rico"
929,San Juan,PR,18.4,-66.06,San Juan,"San Juan County, Puerto Rico"
931,San Juan,PR,18.4,-66.06,San Juan,"San Juan County, Puerto Rico"
933,San Juan,PR,18.4,-66.06,San Juan,"San Juan County, Puerto Rico"
935,San Juan,PR,18.4,-66.06,San Juan,"San Juan County, Puerto Rico"
937,San Juan,PR,18.4,-66.06,San Juan,"San Juan County, Puerto Rico"
939,San Juan,PR,18.4,-66.06,San Juan,"San Juan County, Puerto Rico"
952,Sabana Seca,PR,18.42,-66.19,Toa Baja,"Toa Baja County, Puerto Rico"
953,Toa Alta,PR,18.39,-66.25,Toa Alta,"Toa Alta County, Puerto Rico"
954,Toa Alta,PR,18.39,-66.25,Toa Alta,"Toa Alta County, Puerto Rico"
955,San Juan,PR,18.4,-66.06,San Juan,"San Juan County, Puerto Rico"
956,Bayamon,PR,18.28,-66.13,BayamÃƒÂ³n,"BayamÃƒÂ³n County, Puerto Rico"
957,Bayamon,PR,18.28,-66.13,BayamÃƒÂ³n,"BayamÃƒÂ³n County, Puerto Rico"
958,Bayamon,PR,18.28,-66.13,BayamÃƒÂ³n,"BayamÃƒÂ³n County, Puerto Rico"
959,Bayamon,PR,18.28,-66.13,BayamÃƒÂ³n,"BayamÃƒÂ³n County, Puerto Rico"
961,Bayamon,PR,18.41,-66.15,BayamÃƒÂ³n,"BayamÃƒÂ³n County, Puerto Rico"
962,Catano,PR,18.43,-66.11,CataÃƒÂ±o,"CataÃƒÂ±o County, Puerto Rico"
963,Catano,PR,18.43,-66.11,CataÃƒÂ±o,"CataÃƒÂ±o County, Puerto Rico"
965,Guaynabo,PR,18.38,-66.11,Guaynabo,"Guaynabo County, Puerto Rico"
966,Guaynabo,PR,18.38,-66.11,Guaynabo,"Guaynabo County, Puerto Rico"
968,Guaynabo,PR,18.38,-66.11,Guaynabo,"Guaynabo County, Puerto Rico"
969,Guaynabo,PR,18.38,-66.11,Guaynabo,"Guaynabo County, Puerto Rico"
971,Guaynabo,PR,18.38,-66.11,Guaynabo,"Guaynabo County, Puerto Rico"
975,San Juan,PR,18.4,-66.06,San Juan,"San Juan County, Puerto Rico"
976,Trujillo Alto,PR,18.36,-66.01,Trujillo Alto,"Trujillo Alto County, Puerto Rico"
978,Saint Just,PR,18.37,-66.01,San Juan,"San Juan County, Puerto Rico"
979,Carolina,PR,18.4,-65.98,Carolina,"Carolina County, Puerto Rico"
981,Carolina,PR,18.4,-65.98,Carolina,"Carolina County, Puerto Rico"
982,Carolina,PR,18.4,-65.98,Carolina,"Carolina County, Puerto Rico"
983,Carolina,PR,18.4,-65.98,Carolina,"Carolina County, Puerto Rico"
984,Carolina,PR,18.4,-65.98,Carolina,"Carolina County, Puerto Rico"
985,Carolina,PR,18.4,-65.98,Carolina,"Carolina County, Puerto Rico"
986,Carolina,PR,18.4,-65.98,Carolina,"Carolina County, Puerto Rico"
987,Carolina,PR,18.4,-65.98,Carolina,"Carolina County, Puerto Rico"
988,Carolina,PR,18.4,-65.98,Carolina,"Carolina County, Puerto Rico"
1001,Agawam,MA,42.06,-72.61,Hampden,"Hampden County, Massachusetts"
1002,Amherst,MA,42.37,-72.52,Hampshire,"Hampshire County, Massachusetts"
