"GEO_ID","NAME","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E"
"id","Geographic Area Name","Total!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Estimate!!All households!!With Social Security income","Total!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income"
"0500000US04021","Pinal County, Arizona","1.8","93777","4291","26.9","2.2","33.2","2.7","24.8","2.1","6.7","1.3","5.8","1.4","2.5","0.9","401918","*****","81.0","1.1","4.6","0.3","5.2","0.8","2.0","0.3","0.4","0.1","3.3","0.9","3.5","0.8","29.2","*****","57.8","0.1","35.3","(X)","34.5","(X)","27.2","(X)","60357","2979","59045","2504","20434","6790","19565","699","9675","949","2719","860","24676","3803","66803","2728","49931","5239","53933","3748","91022","6371","61166","6397","104171","12382","106755","37358","21210","961","23048","1121","15666","2656","8837","2046","16878","3596","N","N","15453","2735","14217","4152","14075","2107","26435","1146","(X)","(X)","(X)","(X)","(X)","(X)","132176","3596","67.7","1.8","18.1","1.5","40.1","1.7","6.1","0.9","2.2","0.8","27.5"
"0500000US04025","Yavapai County, Arizona","2.2","58100","3007","33.1","2.6","31.7","3.0","21.2","2.8","8.4","2.1","4.1","1.6","1.4","0.7","218844","*****","91.1","1.0","0.6","0.2","1.5","0.5","1.0","0.2","0.0","0.1","3.5","1.0","2.3","0.6","14.2","*****","80.7","0.2","39.6","(X)","39.3","(X)","35.0","(X)","60018","3924","58951","4776","21972","6267","18724","689","9084","1755","3273","1456","22827","1751","69797","5592","55483","9458","63893","6649","93905","14612","67690","10536","113762","24538","58776","17491","26018","1596","26694","1665","30882","10137","32340","10785","13840","8106","N","N","13759","3310","18204","12682","15872","2711","27997","1837","(X)","(X)","(X)","(X)","(X)","(X)","90584","2671","59.2","2.1","28.5","2.4","51.2","1.8","4.2","0.9","2.1","0.7","31.3"
"0500000US04027","Yuma County, Arizona","1.6","54310","2591","20.9","2.2","32.0","3.2","27.1","3.3","9.0","1.9","8.0","1.8","3.0","1.2","203247","*****","78.5","2.3","2.3","0.4","0.9","0.2","1.2","0.4","0.0","0.1","14.3","2.2","2.8","0.8","61.7","*****","32.9","0.1","30.9","(X)","29.2","(X)","21.3","(X)","54402","2722","54213","3455","14373","4026","17925","885","9544","1553","4564","2272","25791","2468","58001","3137","40578","4990","47632","4607","77033","7658","46382","8308","95959","23484","51985","7417","19235","897","20463","1118","22010","6958","10930","6725","20925","13747","N","N","13973","1558","11233","2473","13185","1035","30955","2272","(X)","(X)","(X)","(X)","(X)","(X)","70593","1932","72.3","2.1","12.9","1.6","34.8","1.8","4.2","1.1","1.0","0.5","19.7"
"0500000US05007","Benton County, Arkansas","1.5","64058","2171","14.6","1.7","32.1","2.7","36.4","2.9","9.6","1.9","5.5","1.3","1.8","0.8","242321","*****","88.5","0.7","1.7","0.3","1.6","0.3","3.4","0.2","0.4","0.1","1.9","0.6","2.6","0.6","16.2","*****","74.6","0.3","29.5","(X)","30.3","(X)","23.5","(X)","76678","3823","79503","4523","15196","3779","19746","747","9470","1010","1188","642","21485","3858","87024","4682","46345","6242","73817","8264","113906","11449","69311","9397","121040","21929","100069","10975","27846","1415","27583","1383","30474","13163","20405","5349","48720","17660","4582","2714","23889","7048","18416","6143","14477","1263","30187","1606","(X)","(X)","(X)","(X)","(X)","(X)","86232","1851","80.3","1.4","18.9","1.7","27.5","1.3","3.6","0.8","0.9","0.4","14.5"
"0500000US05031","Craighead County, Arkansas","2.3","25366","1766","16.6","2.9","36.9","5.5","30.1","4.1","9.9","3.0","3.9","1.6","2.6","2.5","102518","*****","81.7","1.0","13.1","1.6","0.6","0.9","1.1","0.2","0.7","1.1","0.4","0.3","2.4","1.3","4.7","*****","78.0","0.1","25.8","(X)","27.5","(X)","20.8","(X)","60106","5712","59745","6469","12753","4512","17061","1335","8282","1533","1485","939","19825","3317","72969","7318","43082","7642","59577","11992","107006","17771","60683","10945","94676","21520","75231","49480","23611","2290","26054","2664","10299","2794","N","N","33839","22659","N","N","N","N","15876","12164","8164","4961","27019","2774","(X)","(X)","(X)","(X)","(X)","(X)","38548","1519","80.1","2.8","17.0","3.0","27.6","2.5","8.1","2.2","0.8","0.5","16.3"
"0500000US05045","Faulkner County, Arkansas","2.2","28348","1649","13.2","2.6","34.5","4.2","34.9","3.8","7.8","2.4","7.7","2.2","1.8","1.3","120768","*****","83.5","0.6","11.7","0.4","0.5","0.4","1.1","0.2","0.0","0.1","1.1","0.6","2.0","0.6","4.1","*****","81.0","0.2","25.8","(X)","25.3","(X)","20.7","(X)","65696","5580","62136","3618","N","N","17920","1291","7320","1203","N","N","24008","2274","78273","8464","76680","55613","64017","8066","93150","7679","67980","11801","88378","9676","76363","25276","24324","2064","26415","2360","12687","2558","N","N","8601","3947","N","N","N","N","5683","2565","22062","12626","26728","2396","(X)","(X)","(X)","(X)","(X)","(X)","42782","1340","81.4","2.6","16.5","2.3","27.2","2.1","5.9","2.1","1.0","0.8","16.7"
"0500000US05051","Garland County, Arkansas","3.2","24259","1814","23.1","3.9","37.1","5.1","24.9","4.5","8.8","2.9","4.6","2.0","1.4","1.3","97322","*****","85.9","1.5","8.5","0.9","0.3","0.3","0.8","0.8","0.0","0.1","2.2","1.6","2.2","0.8","5.3","*****","82.9","0.2","27.4","(X)","25.8","(X)","21.3","(X)","57529","5498","61970","8141","13841","5226","17547","1157","8884","1366","1679","806","20529","2891","71531","8635","39590","5478","74467","17216","97339","22929","56168","17363","98672","24037","69202","34330","24118","2281","24806","2230","16123","10789","N","N","N","N","N","N","9383","3852","9503","4606","8162","2749","25452","2280","(X)","(X)","(X)","(X)","(X)","(X)","39045","1871","65.3","3.4","22.9","3.1","43.1","2.7","9.8","2.7","1.3","0.8","20.9"
"0500000US05069","Jefferson County, Arkansas","3.2","17053","1364","24.9","4.4","34.0","5.6","23.9","4.7","11.2","3.6","4.8","2.1","1.2","1.0","72297","*****","42.0","0.2","56.3","0.4","0.0","0.1","1.0","0.2","0.0","0.2","0.2","0.2","0.5","0.4","1.9","*****","40.2","0.2","31.2","(X)","37.2","(X)","23.6","(X)","49725","4060","53287","5659","6345","2718","16754","1340","10353","1461","3701","699","21272","4137","62227","5194","33863","6619","52816","8493","97121","12193","46730","6794","127138","42667","108950","43480","20470","1711","27125","3553","15606","1525","N","N","21748","6423","N","N","N","N","13995","16165","15545","6946","27605","3714","(X)","(X)","(X)","(X)","(X)","(X)","28494","1190","66.7","4.1","10.0","2.2","38.5","3.7","9.3","2.1","14.7","2.8","20.7"
"0500000US05085","Lonoke County, Arkansas","3.8","20321","1116","13.4","3.4","29.3","4.7","37.7","4.8","10.1","3.4","8.4","2.4","1.0","0.7","71557","*****","90.3","0.5","6.2","0.5","0.3","0.3","0.3","0.2","0.0","0.2","0.4","0.4","2.6","0.7","4.0","*****","86.7","0.2","24.3","(X)","25.1","(X)","19.4","(X)","62593","3550","62435","3940","7508","5257","18445","1653","8011","1117","1021","894","19671","5224","68530","4066","45686","12476","51894","5768","81683","5402","55615","7742","109432","17307","152695","62270","23454","1220","24204","1285","15992","4017","N","N","N","N","N","N","N","N","12679","6665","21473","6497","24410","1319","(X)","(X)","(X)","(X)","(X)","(X)","26688","630","79.0","3.5","11.7","2.7","33.8","2.9","5.7","2.0","1.5","1.1","21.7"
