id,Geographic Area Name,Total population,Margin of Error Total population,White Percentage,Margin of Error White Percentage,Black Percentage,Margin of Error Black Percentage,Native Percentage,Margin of Error Native Percentage,Asian Percentage,Margin of Error Asian Percentage,Islander Percentage,Margin of Error Islander Percentage,Other Percentage,Margin of Error Other Percentage,Mixed Percentage,Margin of Error Mixed Percentage,Latino Total Percentage,Margin of Error Latino Total Percentage,White Alone Percentage,Margin of Error White Alone Percentage,Mean Income Total,Margin of Error Mean Income Total,Mean Income White,Margin of Error Mean Income White,Mean Income Black,Margin of Error Mean Income Black,Mean Income Native,Margin of Error Mean Income Native,Mean Income Asian,Margin of Error Mean Income Asian,Mean Income Islander,Margin of Error Mean Income Islander,Mean Income Other,Margin of Error Mean Income Other,Mean Income Mixed,Margin of Error Mean Income Mixed,Mean Income Latino Total,Margin of Error Mean Income Latino Total,Mean Income White Alone,Margin of Error Mean Income White Alone
0500000US36001,Albany,306945,*****,77.7,0.6,12.3,0.6,0.1,0.1,5.7,0.2,0.1,0.2,1.1,0.4,2.8,0.7,5.5,*****,74.5,0.1,32367,1357,35845,1560,20479,4143,34763,10416,23811,4852,N,N,11845,7380,14971,4258,17224,3951,36513,1640
0500000US36005,Bronx,1418733,*****,20.6,0.7,33.1,0.5,0.5,0.1,3.7,0.1,0.1,0.1,38.2,0.9,3.7,0.5,54.6,*****,10.3,0.1,17907,429,26251,1252,17770,624,30911,14834,19106,2169,25555,4434,13389,559,16014,1870,14369,451,34658,2140
0500000US36007,Broome,197534,*****,86.8,0.6,5.5,0.6,0.4,0.2,3.8,0.3,0,0.1,1.3,0.6,2.2,0.5,3.8,*****,85.1,0.1,24992,1276,26350,1385,10096,2215,11273,8819,32101,10012,N,N,11650,6332,6338,2563,9565,1994,26615,1404
0500000US36009,Cattaraugus,78892,*****,92.3,0.4,1.7,0.4,2.9,0.4,0.9,0.2,0,0.2,0.3,0.2,1.9,0.6,1.9,*****,91.2,0.1,22369,1354,22988,1372,25379,21965,14250,3960,11626,6049,N,N,N,N,9427,4704,9565,2922,23143,1385
0500000US36011,Cayuga,79477,*****,92.6,0.3,4.3,0.6,0.3,0.1,0.6,0.2,0,0.2,0.6,0.2,1.7,0.6,2.6,*****,90.9,0.1,25909,1402,27170,1476,10722,5102,9208,6105,16161,13825,N,N,N,N,7424,6642,9406,6057,27492,1496
0500000US36013,Chautauqua,133080,*****,93.3,0.8,2.9,0.4,0.4,0.2,0.7,0.2,0,0.1,1.2,0.7,1.6,0.5,6.8,*****,88.4,0.1,22058,1165,22963,1255,8065,3026,22667,14912,8917,6264,N,N,8164,6336,10226,5713,11306,2477,23511,1278
0500000US36015,Chemung,88506,*****,88.9,0.6,6.2,0.9,0.6,0.2,1.2,0.3,0,0.2,0.3,0.4,2.8,1.1,2.8,*****,86.8,0.2,25674,2080,27458,2165,9996,4537,8548,6833,24446,19251,N,N,N,N,8187,5691,15570,5982,27713,2192
0500000US36019,Clinton,81591,*****,91.8,0.7,3.6,0.4,0.3,0.3,1.6,0.2,0,0.2,1.4,0.6,1.5,0.5,2.7,*****,90.3,0.4,24575,2180,25956,2344,N,N,N,N,16691,9554,N,N,N,N,6711,3628,17391,12143,25901,2314
0500000US36027,Dutchess,296916,*****,79.8,0.7,10.4,0.6,0.2,0.2,3.6,0.3,0,0.1,2.6,0.6,3.3,0.8,11.3,*****,73.3,0.1,33716,1157,36152,1390,24099,2512,14644,10541,42668,9813,N,N,17933,3551,9463,2597,15985,1767,37922,1494
0500000US36029,Erie,919866,*****,78.5,0.3,13.3,0.3,0.4,0.1,2.9,0.1,0,0.1,2.4,0.3,2.3,0.3,4.9,*****,76.8,0.1,28182,506,31211,592,15796,868,12501,2951,29093,5998,24043,4722,12844,2331,14505,3941,15801,2137,31501,600
