race,date,meanIncome,county,MOE
White,2010,33241,Albany,1928
White,2010,22236,Bronx,872
White,2010,24295,Broome,1039
White,2010,21512,Cattaraugus,1317
White,2010,23627,Cayuga,944
White,2010,21023,Chautauqua,881
White,2010,25289,Chemung,1830
White,2010,22826,Clinton,1320
White,2010,33524,Dutchess,1352
White,2010,27744,Erie,519
White,2010,23314,Jefferson,1582
White,2010,28369,Kings,725
White,2010,23001,Livingston,1377
White,2010,24276,Madison,1528
White,2010,30222,Monroe,815
White,2010,45317,Nassau,1124
White,2010,77052,New York,2466
White,2010,25634,Niagara,1068
White,2010,24939,Oneida,925
White,2010,29748,Onondaga,1000
White,2010,30563,Ontario,2400
White,2010,29873,Orange,980
White,2010,22062,Oswego,1313
White,2010,37698,Putnam,2568
White,2010,28921,Queens,673
White,2010,29193,Rensselaer,1249
White,2010,32801,Richmond,1376
White,2010,35337,Rockland,1331
White,2010,22585,St. Lawrence,1533
White,2010,33724,Saratoga,1587
White,2010,29454,Schenectady,1409
White,2010,24515,Steuben,1413
White,2010,37664,Suffolk,734
White,2010,25410,Sullivan,1826
White,2010,27630,Tompkins,1653
White,2010,28476,Ulster,1276
White,2010,0,Warren,0
White,2010,24979,Wayne,1325
White,2010,54883,Westchester,1700
All,2010,29914,Albany,1499
All,2010,16671,Bronx,356
All,2010,23066,Broome,964
All,2010,21084,Cattaraugus,1268
All,2010,22629,Cayuga,912
All,2010,20358,Chautauqua,823
All,2010,24437,Chemung,1745
All,2010,21666,Clinton,1190
All,2010,31796,Dutchess,1221
All,2010,25387,Erie,426
All,2010,22514,Jefferson,1388
All,2010,23218,Kings,431
All,2010,22516,Livingston,1353
All,2010,23661,Madison,1541
All,2010,26805,Monroe,693
All,2010,39935,Nassau,893
All,2010,56556,New York,1440
All,2010,24292,Niagara,986
All,2010,23043,Oneida,862
All,2010,26908,Onondaga,818
All,2010,29436,Ontario,2249
All,2010,27862,Orange,783
All,2010,21648,Oswego,1298
All,2010,35526,Putnam,2604
All,2010,24530,Queens,390
All,2010,27443,Rensselaer,1122
All,2010,30122,Richmond,1090
All,2010,33228,Rockland,1222
All,2010,22056,St. Lawrence,1416
All,2010,33155,Saratoga,1552
All,2010,26512,Schenectady,1185
All,2010,24435,Steuben,1439
All,2010,34582,Suffolk,614
All,2010,23547,Sullivan,1636
All,2010,25041,Tompkins,1436
All,2010,26701,Ulster,1217
All,2010,28360,Warren,1780
All,2010,24337,Wayne,1323
All,2010,45554,Westchester,1281
Asian,2010,25427,Albany,5606
Asian,2010,21288,Bronx,2588
Asian,2010,15398,Broome,5542
Asian,2010,16512,Cattaraugus,14182
Asian,2010,18039,Cayuga,9182
Asian,2010,10762,Chautauqua,7212
Asian,2010,0,Chemung,0
Asian,2010,9486,Clinton,6094
Asian,2010,41911,Dutchess,9844
Asian,2010,22360,Erie,4492
Asian,2010,28596,Jefferson,20604
Asian,2010,18124,Kings,902
Asian,2010,0,Livingston,0
Asian,2010,0,Madison,0
Asian,2010,20369,Monroe,3162
Asian,2010,33382,Nassau,2548
Asian,2010,50899,New York,4233
Asian,2010,14406,Niagara,6806
Asian,2010,13793,Oneida,3361
Asian,2010,20036,Onondaga,3779
Asian,2010,15532,Ontario,10465
Asian,2010,33796,Orange,7917
Asian,2010,10541,Oswego,5153
Asian,2010,47865,Putnam,28302
Asian,2010,22096,Queens,901
Asian,2010,14474,Rensselaer,4621
Asian,2010,23700,Richmond,2420
Asian,2010,37222,Rockland,5738
Asian,2010,24333,St. Lawrence,7319
Asian,2010,48191,Saratoga,16991
Asian,2010,21611,Schenectady,9215
Asian,2010,42979,Steuben,14792
Asian,2010,31134,Suffolk,3431
Asian,2010,28781,Sullivan,12895
Asian,2010,15131,Tompkins,3824
Asian,2010,14332,Ulster,9267
Asian,2010,0,Warren,0
Asian,2010,0,Wayne,0
Asian,2010,53234,Westchester,5518
Mixed,2010,12511,Albany,7091
Mixed,2010,12232,Bronx,1541
Mixed,2010,14985,Broome,7106
Mixed,2010,15482,Cattaraugus,8933
Mixed,2010,6103,Cayuga,4508
Mixed,2010,5197,Chautauqua,2831
Mixed,2010,6381,Chemung,4437
Mixed,2010,0,Clinton,0
Mixed,2010,23520,Dutchess,19454
Mixed,2010,12719,Erie,3752
Mixed,2010,9896,Jefferson,4069
Mixed,2010,17681,Kings,3196
Mixed,2010,13279,Livingston,7948
Mixed,2010,5822,Madison,3757
Mixed,2010,8855,Monroe,2699
Mixed,2010,23201,Nassau,6687
Mixed,2010,24954,New York,3068
Mixed,2010,11234,Niagara,3759
Mixed,2010,8445,Oneida,2547
Mixed,2010,11245,Onondaga,3326
Mixed,2010,5634,Ontario,3086
