race,date,meanIncome,county,percentage
total,2010,29914,Albany,100
total,2010,16671,Bronx,100
total,2010,23066,Broome,100
total,2010,21084,Cattaraugus,100
total,2010,22629,Cayuga,100
total,2010,20358,Chautauqua,100
total,2010,24437,Chemung,100
total,2010,21666,Clinton,100
total,2010,31796,Dutchess,100
total,2010,25387,Erie,100
total,2010,22514,Jefferson,100
total,2010,23218,Kings,100
total,2010,22516,Livingston,100
total,2010,23661,Madison,100
total,2010,26805,Monroe,100
total,2010,39935,Nassau,100
total,2010,56556,New York,100
total,2010,24292,Niagara,100
total,2010,23043,Oneida,100
total,2010,26908,Onondaga,100
total,2010,29436,Ontario,100
total,2010,27862,Orange,100
total,2010,21648,Oswego,100
total,2010,35526,Putnam,100
total,2010,24530,Queens,100
total,2010,27443,Rensselaer,100
total,2010,30122,Richmond,100
total,2010,33228,Rockland,100
total,2010,22056,St. Lawrence,100
total,2010,33155,Saratoga,100
total,2010,26512,Schenectady,100
total,2010,24435,Steuben,100
total,2010,34582,Suffolk,100
total,2010,23547,Sullivan,100
total,2010,25041,Tompkins,100
total,2010,26701,Ulster,100
total,2010,28360,Warren,100
total,2010,24337,Wayne,100
total,2010,45554,Westchester,100
white,2010,33241,Albany,0
white,2010,22236,Bronx,0
white,2010,24295,Broome,0
white,2010,21512,Cattaraugus,0
white,2010,23627,Cayuga,0
white,2010,21023,Chautauqua,0
white,2010,25289,Chemung,0
white,2010,22826,Clinton,0
white,2010,33524,Dutchess,0
white,2010,27744,Erie,0
white,2010,23314,Jefferson,0
white,2010,28369,Kings,0
white,2010,23001,Livingston,94
white,2010,24276,Madison,0
white,2010,30222,Monroe,0
white,2010,45317,Nassau,0
white,2010,77052,New York,0
white,2010,25634,Niagara,0
white,2010,24939,Oneida,0
white,2010,29748,Onondaga,0
white,2010,30563,Ontario,0
white,2010,29873,Orange,0
white,2010,22062,Oswego,0
white,2010,37698,Putnam,87
white,2010,28921,Queens,42
white,2010,29193,Rensselaer,0
white,2010,32801,Richmond,0
