location,perCapitaTotal,meanIncomeTotal,perCapitaWhite,meanIncomeWhite,perCapitaBlack,meanIncomeBlack,perCapitaNative,meanIncomeNative,perCapitaAsian,meanIncomeAsian,perCapitaIslander,meanIncomeIslander,perCapitaOther,meanIncomeOther,perCapitaTwoRaces,meanIncomeTwoRaces,perCapitaTotalLatino,meanIncomeTotalLatino,perCapitaWhitealone,meanIncomeWhitealone,latitude,longitude
"Shelby County, Alabama",215707,37386,172086,39216,27162,33492,372,6178,4767,51496,27,N,7400,13372,3893,14842,12466,18087,167118,39662,33.07,-86.56
"Talladega County, Alabama",79828,24571,50857,28382,27226,17900,433,13717,110,N,0,N,82,N,1120,N,1242,33556,49842,28424,33.17,-86.26
"Tuscaloosa County, Alabama",208911,26818,135323,30699,67036,20207,529,13956,3471,14454,0,N,330,N,2222,15482,8115,12838,127896,31807,33.05,-87.76
"Pinal County, Arizona",447138,23958,359718,25602,19947,23551,22140,11767,7233,21708,1487,12294,16060,20844,20553,12796,136046,16030,252935,29592,32.57,-111.36
"Mendocino County, California",87606,26939,73040,28847,294,N,3434,22209,2190,15658,153,N,4829,14248,3666,13035,22445,15724,56655,32483,38.82,-123.51
"Orange County, California",3185968,41722,1922991,47693,59872,37610,13213,35881,666421,40068,10196,34138,378653,20854,134622,26280,1088251,23212,1271280,59518,33.42,-117.62
"Sacramento County, California",1540975,32748,874105,38201,152261,28516,11548,23972,248351,30168,18375,23429,120060,19711,116275,18613,361318,21000,679244,42771,38.16,-121.59
"Citrus County, Florida",147929,26187,136707,27168,4284,13851,430,N,2155,22228,0,N,1167,10992,3186,8532,8800,22629,129632,27299,28.74,-82.29
"Peoria County, Illinois",180621,31514,131960,34962,30995,19885,637,16094,7844,46694,0,N,1988,11672,7197,8680,8878,18614,125806,35643,40.55,-89.77
"Hancock County, Indiana",76351,32534,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,39.72,-85.89
"Howard County, Indiana",82366,29033,72144,29819,6281,27334,761,20382,1291,25583,0,N,270,N,1619,7691,2847,14500,69868,30376,40.41,-86.27
"Berkshire County, Massachusetts",126348,34800,113854,36024,3940,19403,374,28313,2133,35655,189,N,2232,29024,3626,16420,6402,31290,110577,35891,42.05,-73.33
"Scott County, Minnesota",147381,40535,125083,42785,7189,16940,954,104049,9629,30232,0,N,1522,19623,3004,26754,7865,19607,119049,44014,44.56,-93.32
"Rockland County, New York",325695,37371,233051,39400,38958,34626,377,N,19660,47879,0,N,23189,21949,10460,17828,58839,28303,203967,39989,41,-73.91
"Sullivan County, New York",75498,29049,61078,31193,6663,16948,312,N,1321,25003,0,N,3860,22688,2264,17358,12550,20707,53256,32717,41.44,-74.82
"Chatham County, North Carolina",73139,42676,58855,45982,9046,26328,118,N,1222,115625,0,N,2656,10426,1242,N,9011,15158,52433,49500,35.48,-79.53
"Harnett County, North Carolina",134214,23571,92030,26252,25909,18927,1224,30324,1757,25182,624,N,5601,15753,7069,12397,17464,13205,81951,27982,35.17,-78.98
"Wilson County, North Carolina",81455,24629,40059,34065,32253,17618,400,N,787,N,0,N,4907,6227,3049,9913,8793,10599,38136,34994,35.6,-77.82
"Ashtabula County, Ohio",97493,23817,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,41.53,-80.61
"Belmont County, Ohio",67505,25267,62729,26102,1916,12013,107,N,571,N,0,N,177,N,2005,5305,N,N,N,N,39.86,-80.8
"Comanche County, Oklahoma",120422,25060,75141,28504,17707,23591,3957,27887,2602,21259,913,22468,4092,20184,16010,11834,16101,19740,67248,29003,34.46,-98.57
"Blair County, Pennsylvania",122492,27847,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,40.29,-78.3
"Crawford County, Pennsylvania",85063,26419,81136,27073,870,7924,69,N,344,31937,0,N,189,39995,2455,9910,1164,12971,80344,27185,41.48,-80.43
"Fayette County, Pennsylvania",130441,27902,120140,28779,5484,19189,182,N,611,36776,0,N,642,7950,3382,14193,1593,13146,119379,28878,39.73,-79.56
"Madison County, Tennessee",97605,28779,55310,34570,36987,21668,80,N,1094,39958,0,N,2621,9087,1513,10906,3898,8177,54359,35067,35.45,-88.86
"Bell County, Texas",355642,25490,222838,27762,93615,20756,2333,17837,9396,29995,1549,25288,7375,39843,18536,15057,89922,18831,159385,31517,30.79,-97.42
"Cameron County, Texas",423908,16788,402981,16779,2917,14937,535,22999,3630,28994,166,N,11441,14650,2238,8677,N,N,N,N,25.92,-97.48
"Weber County, Utah",256359,27045,229351,27659,2960,27092,1509,17289,2481,34269,1083,25015,9073,22740,9902,16654,47991,18853,193705,29422,41.15,-111.98
"Rockingham County, Virginia",81244,31437,77185,31844,2100,25625,0,N,413,N,0,N,486,N,1060,N,5964,17336,71584,32961,38.26,-78.82
"Chelan County, Washington",77036,31200,57505,35218,228,N,462,40970,1100,23053,142,N,14189,17118,3410,21445,21792,20055,52011,35995,47.32,-120.19
"Calhoun County, Alabama",114277,24493,85046,26438,24737,19737,107,N,426,18230,0,N,1182,22623,2779,9276,4469,12246,82308,27145,33.6,-85.95
"Arapahoe County, Colorado",651215,39919,469233,44714,73002,27753,5249,19571,38778,44479,1526,16375,30804,19213,32623,16664,126911,22915,388194,48608,39.59,-105.01
"Barrow County, Georgia",80809,25470,63590,26788,9937,20529,218,N,3172,13176,60,N,2402,29795,1430,19733,9317,23991,56856,27474,33.93,-83.7
"Jackson County, Georgia",70422,28965,61209,30596,4893,22722,19,N,1062,18073,21,N,1415,12066,1803,10685,5731,19125,57138,31201,34.09,-83.76
"Richmond County, Georgia",201554,22087,73586,28545,113773,18246,595,15631,4377,24888,118,N,2687,17774,6418,16177,10115,16337,67994,29229,33.28,-82.1
"Troup County, Georgia",70034,24448,40980,28650,26220,18351,0,N,1622,29850,0,N,817,4725,395,N,2620,9632,39030,29550,32.87,-85.16
"Dubuque County, Iowa",96854,30732,90011,31979,2548,13337,312,N,1318,26996,72,N,36,N,2557,8661,2438,18305,87758,32383,42.39,-91.12
"Warren County, Kentucky",131264,27392,105739,30032,9620,20030,190,N,6036,16182,1328,N,2653,14681,5698,13978,7330,15265,101945,30477,36.82,-86.39
"Carver County, Minnesota",103551,46200,95336,47041,1993,16752,25,N,3132,49520,30,N,443,N,2592,34911,4420,25030,91525,47939,44.73,-93.96
"Lauderdale County, Mississippi",75317,22702,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1673,20784,39211,29855,32.38,-88.71
"Lee County, Mississippi",85202,27637,57076,32907,24351,17031,399,N,455,32400,0,N,1916,N,1005,N,2320,26611,55326,32905,34.11,-88.69
"Rankin County, Mississippi",153902,30605,115335,33662,32841,20395,602,N,1886,44825,0,N,2059,20142,1179,N,4368,15695,112946,34100,32.08,-89.77
"Ulster County, New York",178599,35400,149143,39348,10718,15928,503,21134,3026,8180,0,N,5113,21792,10096,13511,18785,17533,139988,40607,41.6,-73.97
"Wake County, North Carolina",1092305,41022,699803,47908,220735,26805,2466,31780,78213,44279,331,N,47511,17363,43246,22399,112797,19175,649332,49948,35.54,-78.83
"Lorain County, Ohio",309461,31466,265593,33670,25734,19339,1071,14513,3396,26221,75,N,3331,21641,10261,11750,31642,19729,240752,35033,41.16,-82.22
"Payne County, Oklahoma",82040,25941,66152,25905,3212,18317,2896,14049,3324,N,98,N,256,N,6102,23815,3986,26898,62846,25706,35.97,-97.02
"Rogers County, Oklahoma",91984,31955,68566,34871,1064,60891,12531,22340,1611,15356,147,N,311,30270,7754,21403,4487,24313,65813,35043,36.13,-95.53
"Lycoming County, Pennsylvania",113664,27306,104565,28687,4872,11275,292,52052,858,18222,100,N,499,18593,2478,2258,2349,12205,102924,28954,41.17,-76.87
"Berkeley County, South Carolina",221091,29727,146659,34714,52921,19890,1098,24029,4567,27581,594,N,7098,14654,8154,19891,15221,19847,139797,35200,32.91,-80.01
"Sumter County, South Carolina",106512,22602,48223,28845,52663,17539,0,N,1588,12605,0,N,767,23447,3271,16715,1768,19948,47780,28844,33.73,-80.46
"Robertson County, Tennessee",71012,30827,61235,33142,5182,17902,59,N,504,20952,0,N,1732,16042,2300,11927,5172,12880,58939,33849,36.39,-86.77
"Collin County, Texas",1005146,43910,681648,46948,101248,34463,4647,47269,160058,44531,154,N,26583,23054,30808,21965,155001,26280,560168,51099,32.97,-96.7
"Tooele County, Utah",69907,24915,61202,25424,145,N,924,N,852,45567,0,N,4039,18823,2745,17471,N,N,N,N,40.06,-112.34
