County,Location
Albany,"(42.678066, -73.814233)"
Allegany,"(42.226801, -78.020567)"
Broome,"(42.122015, -75.933191)"
Cattaraugus,"(42.224267, -78.606673)"
Cayuga,"(42.940095, -76.560755)"
Chautauqua,"(42.246904, -79.315313)"
Chemung,"(42.116644, -76.812331)"
Chenango,"(42.481798, -75.570013)"
Clinton,"(44.731944, -73.548883)"
Columbia,"(42.276913, -73.682168)"
Cortland,"(42.597101, -76.143291)"
Delaware,"(42.242972, -74.997944)"
Dutchess,"(41.686216, -73.840468)"
Erie,"(42.888143, -78.795544)"
Essex,"(44.166026, -73.685145)"
Franklin,"(44.705699, -74.340621)"
Fulton,"(43.06014, -74.331296)"
Genesee,"(43.000121, -78.172679)"
Greene,"(42.298326, -73.973376)"
Hamilton,"(43.618468, -74.395268)"
Herkimer,"(43.070026, -74.994246)"
Jefferson,"(44.019295, -75.898971)"
Lewis,"(43.785537, -75.446296)"
Livingston,"(42.763754, -77.765392)"
Madison,"(42.986917, -75.720031)"
Monroe,"(43.161748, -77.620143)"
Montgomery,"(42.933637, -74.341972)"
Nassau,"(40.715749, -73.601185)"
Niagara,"(43.134634, -78.856419)"
Oneida,"(43.149482, -75.361773)"
Onondaga,"(43.065629, -76.168033)"
Ontario,"(42.894571, -77.252045)"
Orange,"(41.422459, -74.241929)"
Orleans,"(43.248394, -78.218438)"
Oswego,"(43.39123, -76.31133)"
Otsego,"(42.564852, -75.060334)"
Putnam,"(41.41131, -73.717443)"
Rensselaer,"(42.70098, -73.628669)"
Rockland,"(41.127287, -74.017033)"
St. Lawrence,"(44.689468, -75.242045)"
Saratoga,"(43.00894, -73.786779)"
Schenectady,"(42.809233, -73.946838)"
Schoharie,"(42.643426, -74.434606)"
Schuyler,"(42.38593, -76.872032)"
Seneca,"(42.833627, -76.82753)"
Steuben,"(42.270053, -77.324618)"
Suffolk,"(40.820237, -73.119032)"
Sullivan,"(41.705166, -74.711705)"
Tioga,"(42.120252, -76.29595)"
Tompkins,"(42.461024, -76.478784)"
Ulster,"(41.848374, -74.099412)"
Warren,"(43.403024, -73.716044)"
Washington,"(43.289513, -73.454761)"
Wayne,"(43.144336, -77.117995)"
Westchester,"(41.039278, -73.805386)"
Wyoming,"(42.723641, -78.204473)"
Yates,"(42.634338, -77.078311)"
Bronx,"(40.85589, -73.868294)"
Kings,"(40.65642, -73.950691)"
New York,"(40.726966, -74.005966)"
Queens,"(40.749338, -73.789673)"
Richmond,"(40.566763, -74.148102)"
