"GEO_ID","NAME","K200201_001E","K200201_001M","K200201_002E","K200201_002M","K200201_003E","K200201_003M","K200201_004E","K200201_004M","K200201_005E","K200201_005M","K200201_006E","K200201_006M","K200201_007E","K200201_007M","K200201_008E","K200201_008M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races"
"0500000US36001","Albany County, New York","309381","*****","237074","1776","36840","2267","613","309","19602","740","325","421","4000","1417","10927","2584"
"0500000US36003","Allegany County, New York","47462","*****","45131","207","414","295","38","74","557","483","0","190","388","203","934","576"
"0500000US36005","Bronx County, New York","1455444","*****","296739","9416","475704","7529","9275","2507","53593","3067","63","105","567160","11934","52910","7260"
"0500000US36007","Broome County, New York","196567","*****","169170","1028","11374","1159","335","244","8411","1000","107","121","1745","798","5425","1405"
"0500000US36009","Cattaraugus County, New York","77922","*****","71494","444","1389","389","2286","480","791","85","0","190","507","251","1455","516"
"0500000US36011","Cayuga County, New York","78288","*****","72240","437","3663","774","107","40","248","127","0","190","405","438","1625","783"
"0500000US36013","Chautauqua County, New York","130779","*****","121646","968","3224","646","755","363","844","177","142","134","2033","900","2135","756"
"0500000US36015","Chemung County, New York","87071","*****","76618","687","6638","891","180","158","927","371","28","52","630","623","2050","815"
"0500000US36017","Chenango County, New York","48844","*****","47063","165","758","226","137","167","212","197","0","190","242","174","432","250"
"0500000US36019","Clinton County, New York","81251","*****","74541","343","3815","585","49","83","1268","226","10","22","670","292","898","623"
"0500000US36021","Columbia County, New York","61509","*****","54955","659","2698","794","86","104","1053","309","0","190","533","545","2184","733"
"0500000US36023","Cortland County, New York","48494","*****","46134","132","590","405","126","203","345","331","0","190","83","103","1216","436"
"0500000US36025","Delaware County, New York","46053","*****","43657","192","789","235","61","60","202","227","0","190","124","85","1220","334"
"0500000US36027","Dutchess County, New York","295754","*****","228378","2770","31237","1729","799","349","11505","800","259","282","14671","2862","8905","1850"
"0500000US36029","Erie County, New York","922578","*****","718294","3386","126063","2299","4275","1715","32105","1390","285","252","23033","3242","18523","2904"
"0500000US36031","Essex County, New York","38478","*****","35588","209","1329","500","98","181","290","106","0","190","434","255","739","416"
"0500000US36033","Franklin County, New York","50660","*****","46232","761","2374","489","503","266","87","91","0","190","872","367","592","501"
"0500000US36035","Fulton County, New York","53992","*****","51278","473","1276","377","78","160","245","202","66","127","396","446","653","333"
"0500000US36037","Genesee County, New York","58937","*****","54366","560","1013","516","517","399","332","256","0","190","852","569","1857","706"
"0500000US36039","Greene County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36043","Herkimer County, New York","63100","*****","60215","458","314","250","223","96","474","74","525","622","342","477","1007","287"
"0500000US36045","Jefferson County, New York","117635","*****","101377","972","7831","1013","546","221","2350","474","225","231","1123","348","4183","1159"
"0500000US36047","Kings County, New York","2636735","*****","1143422","9397","861059","7963","10021","2411","319263","2933","375","310","234735","10418","67860","6010"
"0500000US36049","Lewis County, New York","26957","*****","25871","138","130","118","69","94","229","219","111","157","175","161","372","210"
"0500000US36051","Livingston County, New York","64717","*****","60291","578","813","269","95","155","940","149","0","190","684","573","1894","379"
"0500000US36053","Madison County, New York","71849","*****","68113","245","2015","540","21","43","489","207","0","190","89","114","1122","590"
"0500000US36055","Monroe County, New York","749600","*****","570572","3328","118054","3149","3564","974","29177","1125","99","168","10714","2758","17420","3107"
"0500000US36057","Montgomery County, New York","49642","*****","43120","879","591","231","42","68","526","96","0","190","3794","1090","1569","599"
"0500000US36059","Nassau County, New York","1361350","*****","934951","8442","161031","3739","2675","1043","125694","2600","116","170","96174","8868","40709","6616"
"0500000US36061","New York County, New York","1644518","*****","927335","11756","242485","7676","5653","2215","200997","3018","695","409","194722","14339","72631","8187"
"0500000US36063","Niagara County, New York","212652","*****","185129","949","15160","1194","1485","656","2853","257","0","190","2134","868","5891","1512"
"0500000US36065","Oneida County, New York","232500","*****","197395","1420","12862","1083","593","201","9268","563","533","706","4705","1424","7144","1346"
"0500000US36067","Onondaga County, New York","468463","*****","375090","1585","51850","2806","3022","678","17422","1460","169","162","4861","1558","16049","2726"
"0500000US36069","Ontario County, New York","109561","*****","102195","685","3577","820","42","75","1707","146","91","155","1063","761","886","573"
