id,total_pop,white_population,african_american_pop,american_indian_alaska_native_pop,asian_pop,hawaiin_other_pacific_pop,other_race,two_or_more_races,County,State,Location
0500000US36117,92051.0,85349.0,2815.0,142.0,655.0,0.0,754.0,2336.0,Wayne, New York,"(43.144336, -77.117995)"
0500000US36119,972634.0,647943.0,139734.0,6548.0,57679.0,18.0,92066.0,28646.0,Westchester, New York,"(41.039278, -73.805386)"
0500000US36121,41188.0,37460.0,2642.0,129.0,367.0,0.0,59.0,531.0,Wyoming, New York,"(42.723641, -78.204473)"
0500000US36001,308171.0,236093.0,37346.0,161.0,18754.0,38.0,4922.0,10857.0,Albany, New York,"(42.678066, -73.814233)"
0500000US36003,47736.0,45459.0,687.0,676.0,212.0,0.0,337.0,365.0,Allegany, New York,"(42.226801, -78.020567)"
0500000US36005,1438159.0,287405.0,477980.0,7560.0,55057.0,928.0,566230.0,42999.0,Bronx, New York,"(40.85589, -73.868294)"
0500000US36007,197349.0,170843.0,10367.0,631.0,8516.0,125.0,1507.0,5360.0,Broome, New York,"(42.122015, -75.933191)"
0500000US36009,78600.0,72271.0,1572.0,2354.0,783.0,0.0,462.0,1158.0,Cattaraugus, New York,"(42.224267, -78.606673)"
0500000US36011,78823.0,72054.0,3588.0,589.0,159.0,0.0,769.0,1664.0,Cayuga, New York,"(42.940095, -76.560755)"
0500000US36013,132053.0,123006.0,2952.0,630.0,334.0,0.0,1796.0,3335.0,Chautauqua, New York,"(42.246904, -79.315313)"
0500000US36015,87770.0,77192.0,4731.0,91.0,1848.0,0.0,37.0,3871.0,Chemung, New York,"(42.116644, -76.812331)"
0500000US36017,49426.0,46984.0,330.0,129.0,475.0,0.0,575.0,933.0,Chenango, New York,"(42.481798, -75.570013)"
0500000US36019,81632.0,74009.0,3114.0,217.0,1289.0,24.0,1587.0,1392.0,Clinton, New York,"(44.731944, -73.548883)"
0500000US36021,62122.0,55618.0,2584.0,12.0,1182.0,0.0,981.0,1745.0,Columbia, New York,"(42.276913, -73.682168)"
0500000US36025,46581.0,44253.0,1206.0,49.0,203.0,0.0,336.0,534.0,Delaware, New York,"(42.242972, -74.997944)"
