id,white_population,african_american_pop,american_indian_alaska_native_pop,asian_pop,Other,Total_Population,County,State,Location,Percentage
0500000US36117,85349.0,2815.0,142.0,655.0,3090.0,92051.0,Wayne, New York,"(43.144336, -77.117995)",36.8
0500000US36119,647943.0,139734.0,6548.0,57679.0,120730.0,972634.0,Westchester, New York,"(41.039278, -73.805386)",21.0
0500000US36121,37460.0,2642.0,129.0,367.0,590.0,41188.0,Wyoming, New York,"(42.723641, -78.204473)",29.3
0500000US36001,236093.0,37346.0,161.0,18754.0,15817.0,308171.0,Albany, New York,"(42.678066, -73.814233)",26.0
0500000US36003,45459.0,687.0,676.0,212.0,702.0,47736.0,Allegany, New York,"(42.226801, -78.020567)",30.6
0500000US36005,287405.0,477980.0,7560.0,55057.0,610157.0,1438159.0,Bronx, New York,"(40.85589, -73.868294)",31.0
0500000US36007,170843.0,10367.0,631.0,8516.0,6992.0,197349.0,Broome, New York,"(42.122015, -75.933191)",31.7
0500000US36009,72271.0,1572.0,2354.0,783.0,1620.0,78600.0,Cattaraugus, New York,"(42.224267, -78.606673)",33.5
0500000US36011,72054.0,3588.0,589.0,159.0,2433.0,78823.0,Cayuga, New York,"(42.940095, -76.560755)",33.0
0500000US36013,123006.0,2952.0,630.0,334.0,5131.0,132053.0,Chautauqua, New York,"(42.246904, -79.315313)",32.1
0500000US36015,77192.0,4731.0,91.0,1848.0,3908.0,87770.0,Chemung, New York,"(42.116644, -76.812331)",29.8
0500000US36017,46984.0,330.0,129.0,475.0,1508.0,49426.0,Chenango, New York,"(42.481798, -75.570013)",38.9
0500000US36019,74009.0,3114.0,217.0,1289.0,3003.0,81632.0,Clinton, New York,"(44.731944, -73.548883)",26.8
0500000US36021,55618.0,2584.0,12.0,1182.0,2726.0,62122.0,Columbia, New York,"(42.276913, -73.682168)",24.0
0500000US36025,44253.0,1206.0,49.0,203.0,870.0,46581.0,Delaware, New York,"(42.242972, -74.997944)",25.8
0500000US36027,231851.0,30761.0,1630.0,11576.0,20761.0,296579.0,Dutchess, New York,"(41.686216, -73.840468)",25.5
0500000US36029,720192.0,124150.0,4483.0,30501.0,43509.0,922835.0,Erie, New York,"(42.888143, -78.795544)",30.7
0500000US36031,36049.0,1365.0,162.0,218.0,885.0,38679.0,Essex, New York,"(44.166026, -73.685145)",37.0
0500000US36033,42202.0,3395.0,3036.0,356.0,2273.0,51262.0,Franklin, New York,"(44.705699, -74.340621)",33.4
0500000US36035,51706.0,771.0,55.0,348.0,1225.0,54105.0,Fulton, New York,"(43.06014, -74.331296)",31.4
